Account,SPID,MID,Time,Channel,kWh
35010543227,2300585143,L109330558,11/1/2018 1:00:00 AM,10,0.433
35010543227,2300585143,L109330558,11/1/2018 2:00:00 AM,10,0.616
35010543227,2300585143,L109330558,11/1/2018 3:00:00 AM,10,0.418
35010543227,2300585143,L109330558,11/1/2018 4:00:00 AM,10,0.442
35010543227,2300585143,L109330558,11/1/2018 5:00:00 AM,10,0.424
35010543227,2300585143,L109330558,11/1/2018 6:00:00 AM,10,0.486
35010543227,2300585143,L109330558,11/1/2018 7:00:00 AM,10,0.685
35010543227,2300585143,L109330558,11/1/2018 8:00:00 AM,10,0.873
35010543227,2300585143,L109330558,11/1/2018 9:00:00 AM,10,1.025
35010543227,2300585143,L109330558,11/1/2018 10:00:00 AM,10,1.101
35010543227,2300585143,L109330558,11/1/2018 11:00:00 AM,10,1.097
35010543227,2300585143,L109330558,11/1/2018 12:00:00 PM,10,0.739
35010543227,2300585143,L109330558,11/1/2018 1:00:00 PM,10,0.631
35010543227,2300585143,L109330558,11/1/2018 2:00:00 PM,10,0.595
35010543227,2300585143,L109330558,11/1/2018 3:00:00 PM,10,0.694
35010543227,2300585143,L109330558,11/1/2018 4:00:00 PM,10,0.938
35010543227,2300585143,L109330558,11/1/2018 5:00:00 PM,10,0.98
35010543227,2300585143,L109330558,11/1/2018 6:00:00 PM,10,1.179
35010543227,2300585143,L109330558,11/1/2018 7:00:00 PM,10,2.397
35010543227,2300585143,L109330558,11/1/2018 8:00:00 PM,10,1.19
35010543227,2300585143,L109330558,11/1/2018 9:00:00 PM,10,1.121
35010543227,2300585143,L109330558,11/1/2018 10:00:00 PM,10,0.954
35010543227,2300585143,L109330558,11/1/2018 11:00:00 PM,10,0.748
35010543227,2300585143,L109330558,11/2/2018 12:00:00 AM,10,0.542
35010543227,2300585143,L109330558,11/2/2018 1:00:00 AM,10,0.454
35010543227,2300585143,L109330558,11/2/2018 2:00:00 AM,10,0.403
35010543227,2300585143,L109330558,11/2/2018 3:00:00 AM,10,0.415
35010543227,2300585143,L109330558,11/2/2018 4:00:00 AM,10,0.862
35010543227,2300585143,L109330558,11/2/2018 5:00:00 AM,10,0.94
35010543227,2300585143,L109330558,11/2/2018 6:00:00 AM,10,0.386
35010543227,2300585143,L109330558,11/2/2018 7:00:00 AM,10,0.636
35010543227,2300585143,L109330558,11/2/2018 8:00:00 AM,10,0.711
35010543227,2300585143,L109330558,11/2/2018 9:00:00 AM,10,0.737
35010543227,2300585143,L109330558,11/2/2018 10:00:00 AM,10,1.001
35010543227,2300585143,L109330558,11/2/2018 11:00:00 AM,10,1.088
35010543227,2300585143,L109330558,11/2/2018 12:00:00 PM,10,1.304
35010543227,2300585143,L109330558,11/2/2018 1:00:00 PM,10,0.753
35010543227,2300585143,L109330558,11/2/2018 2:00:00 PM,10,0.613
35010543227,2300585143,L109330558,11/2/2018 3:00:00 PM,10,0.793
35010543227,2300585143,L109330558,11/2/2018 4:00:00 PM,10,2.054
35010543227,2300585143,L109330558,11/2/2018 5:00:00 PM,10,2.69
35010543227,2300585143,L109330558,11/2/2018 6:00:00 PM,10,1.882
35010543227,2300585143,L109330558,11/2/2018 7:00:00 PM,10,1.379
35010543227,2300585143,L109330558,11/2/2018 8:00:00 PM,10,1.41
35010543227,2300585143,L109330558,11/2/2018 9:00:00 PM,10,1.376
35010543227,2300585143,L109330558,11/2/2018 10:00:00 PM,10,1.84
35010543227,2300585143,L109330558,11/2/2018 11:00:00 PM,10,1.067
35010543227,2300585143,L109330558,11/3/2018 12:00:00 AM,10,1.016
35010543227,2300585143,L109330558,11/3/2018 1:00:00 AM,10,0.766
35010543227,2300585143,L109330558,11/3/2018 2:00:00 AM,10,0.763
35010543227,2300585143,L109330558,11/3/2018 3:00:00 AM,10,0.776
35010543227,2300585143,L109330558,11/3/2018 4:00:00 AM,10,0.729
35010543227,2300585143,L109330558,11/3/2018 5:00:00 AM,10,0.708
35010543227,2300585143,L109330558,11/3/2018 6:00:00 AM,10,0.662
35010543227,2300585143,L109330558,11/3/2018 7:00:00 AM,10,0.92
35010543227,2300585143,L109330558,11/3/2018 8:00:00 AM,10,1.301
35010543227,2300585143,L109330558,11/3/2018 9:00:00 AM,10,1.063
35010543227,2300585143,L109330558,11/3/2018 10:00:00 AM,10,0.985
35010543227,2300585143,L109330558,11/3/2018 11:00:00 AM,10,0.948
35010543227,2300585143,L109330558,11/3/2018 12:00:00 PM,10,0.826
35010543227,2300585143,L109330558,11/3/2018 1:00:00 PM,10,0.745
35010543227,2300585143,L109330558,11/3/2018 2:00:00 PM,10,0.694
35010543227,2300585143,L109330558,11/3/2018 3:00:00 PM,10,0.71
35010543227,2300585143,L109330558,11/3/2018 4:00:00 PM,10,1.027
35010543227,2300585143,L109330558,11/3/2018 5:00:00 PM,10,0.966
35010543227,2300585143,L109330558,11/3/2018 6:00:00 PM,10,0.925
35010543227,2300585143,L109330558,11/3/2018 7:00:00 PM,10,0.906
35010543227,2300585143,L109330558,11/3/2018 8:00:00 PM,10,0.898
35010543227,2300585143,L109330558,11/3/2018 9:00:00 PM,10,1.026
35010543227,2300585143,L109330558,11/3/2018 10:00:00 PM,10,0.862
35010543227,2300585143,L109330558,11/3/2018 11:00:00 PM,10,0.883
35010543227,2300585143,L109330558,11/4/2018 12:00:00 AM,10,0.734
35010543227,2300585143,L109330558,11/4/2018 1:00:00 AM,10,0.712
35010543227,2300585143,L109330558,11/4/2018 2:00:00 AM,10,0.808
35010543227,2300585143,L109330558,11/4/2018 2:00:00 AM,10,0.648
35010543227,2300585143,L109330558,11/4/2018 3:00:00 AM,10,0.581
35010543227,2300585143,L109330558,11/4/2018 4:00:00 AM,10,0.952
35010543227,2300585143,L109330558,11/4/2018 5:00:00 AM,10,1.13
35010543227,2300585143,L109330558,11/4/2018 6:00:00 AM,10,0.627
35010543227,2300585143,L109330558,11/4/2018 7:00:00 AM,10,0.713
35010543227,2300585143,L109330558,11/4/2018 8:00:00 AM,10,0.829
35010543227,2300585143,L109330558,11/4/2018 9:00:00 AM,10,0.824
35010543227,2300585143,L109330558,11/4/2018 10:00:00 AM,10,0.652
35010543227,2300585143,L109330558,11/4/2018 11:00:00 AM,10,0.65
35010543227,2300585143,L109330558,11/4/2018 12:00:00 PM,10,0.728
35010543227,2300585143,L109330558,11/4/2018 1:00:00 PM,10,0.677
35010543227,2300585143,L109330558,11/4/2018 2:00:00 PM,10,0.65
35010543227,2300585143,L109330558,11/4/2018 3:00:00 PM,10,0.617
35010543227,2300585143,L109330558,11/4/2018 4:00:00 PM,10,0.723
35010543227,2300585143,L109330558,11/4/2018 5:00:00 PM,10,0.823
35010543227,2300585143,L109330558,11/4/2018 6:00:00 PM,10,1.393
35010543227,2300585143,L109330558,11/4/2018 7:00:00 PM,10,2.881
35010543227,2300585143,L109330558,11/4/2018 8:00:00 PM,10,0.88
35010543227,2300585143,L109330558,11/4/2018 9:00:00 PM,10,1.279
35010543227,2300585143,L109330558,11/4/2018 10:00:00 PM,10,0.88
35010543227,2300585143,L109330558,11/4/2018 11:00:00 PM,10,0.65
35010543227,2300585143,L109330558,11/5/2018 12:00:00 AM,10,0.641
35010543227,2300585143,L109330558,11/5/2018 1:00:00 AM,10,0.569
35010543227,2300585143,L109330558,11/5/2018 2:00:00 AM,10,0.655
35010543227,2300585143,L109330558,11/5/2018 3:00:00 AM,10,0.689
35010543227,2300585143,L109330558,11/5/2018 4:00:00 AM,10,0.681
35010543227,2300585143,L109330558,11/5/2018 5:00:00 AM,10,0.635
35010543227,2300585143,L109330558,11/5/2018 6:00:00 AM,10,0.787
35010543227,2300585143,L109330558,11/5/2018 7:00:00 AM,10,0.988
35010543227,2300585143,L109330558,11/5/2018 8:00:00 AM,10,0.847
35010543227,2300585143,L109330558,11/5/2018 9:00:00 AM,10,1.043
35010543227,2300585143,L109330558,11/5/2018 10:00:00 AM,10,1.067
35010543227,2300585143,L109330558,11/5/2018 11:00:00 AM,10,0.713
35010543227,2300585143,L109330558,11/5/2018 12:00:00 PM,10,0.82
35010543227,2300585143,L109330558,11/5/2018 1:00:00 PM,10,0.862
35010543227,2300585143,L109330558,11/5/2018 2:00:00 PM,10,1.052
35010543227,2300585143,L109330558,11/5/2018 3:00:00 PM,10,0.785
35010543227,2300585143,L109330558,11/5/2018 4:00:00 PM,10,0.69
35010543227,2300585143,L109330558,11/5/2018 5:00:00 PM,10,0.976
35010543227,2300585143,L109330558,11/5/2018 6:00:00 PM,10,2.005
35010543227,2300585143,L109330558,11/5/2018 7:00:00 PM,10,1.782
35010543227,2300585143,L109330558,11/5/2018 8:00:00 PM,10,1.061
35010543227,2300585143,L109330558,11/5/2018 9:00:00 PM,10,1.604
35010543227,2300585143,L109330558,11/5/2018 10:00:00 PM,10,0.887
35010543227,2300585143,L109330558,11/5/2018 11:00:00 PM,10,0.623
35010543227,2300585143,L109330558,11/6/2018 12:00:00 AM,10,0.701
35010543227,2300585143,L109330558,11/6/2018 1:00:00 AM,10,0.674
35010543227,2300585143,L109330558,11/6/2018 2:00:00 AM,10,0.635
35010543227,2300585143,L109330558,11/6/2018 3:00:00 AM,10,0.616
35010543227,2300585143,L109330558,11/6/2018 4:00:00 AM,10,0.585
35010543227,2300585143,L109330558,11/6/2018 5:00:00 AM,10,0.622
35010543227,2300585143,L109330558,11/6/2018 6:00:00 AM,10,0.649
35010543227,2300585143,L109330558,11/6/2018 7:00:00 AM,10,0.96
35010543227,2300585143,L109330558,11/6/2018 8:00:00 AM,10,1.09
35010543227,2300585143,L109330558,11/6/2018 9:00:00 AM,10,0.793
35010543227,2300585143,L109330558,11/6/2018 10:00:00 AM,10,1.012
35010543227,2300585143,L109330558,11/6/2018 11:00:00 AM,10,0.823
35010543227,2300585143,L109330558,11/6/2018 12:00:00 PM,10,1.21
35010543227,2300585143,L109330558,11/6/2018 1:00:00 PM,10,0.866
35010543227,2300585143,L109330558,11/6/2018 2:00:00 PM,10,1.031
35010543227,2300585143,L109330558,11/6/2018 3:00:00 PM,10,0.975
35010543227,2300585143,L109330558,11/6/2018 4:00:00 PM,10,0.775
35010543227,2300585143,L109330558,11/6/2018 5:00:00 PM,10,1.754
35010543227,2300585143,L109330558,11/6/2018 6:00:00 PM,10,1.278
35010543227,2300585143,L109330558,11/6/2018 7:00:00 PM,10,1.992
35010543227,2300585143,L109330558,11/6/2018 8:00:00 PM,10,1.052
35010543227,2300585143,L109330558,11/6/2018 9:00:00 PM,10,1.241
35010543227,2300585143,L109330558,11/6/2018 10:00:00 PM,10,0.783
35010543227,2300585143,L109330558,11/6/2018 11:00:00 PM,10,0.697
35010543227,2300585143,L109330558,11/7/2018 12:00:00 AM,10,0.614
35010543227,2300585143,L109330558,11/7/2018 1:00:00 AM,10,0.698
35010543227,2300585143,L109330558,11/7/2018 2:00:00 AM,10,0.643
35010543227,2300585143,L109330558,11/7/2018 3:00:00 AM,10,0.623
35010543227,2300585143,L109330558,11/7/2018 4:00:00 AM,10,0.532
35010543227,2300585143,L109330558,11/7/2018 5:00:00 AM,10,0.634
35010543227,2300585143,L109330558,11/7/2018 6:00:00 AM,10,0.629
35010543227,2300585143,L109330558,11/7/2018 7:00:00 AM,10,0.847
35010543227,2300585143,L109330558,11/7/2018 8:00:00 AM,10,1.085
35010543227,2300585143,L109330558,11/7/2018 9:00:00 AM,10,1.179
35010543227,2300585143,L109330558,11/7/2018 10:00:00 AM,10,0.686
35010543227,2300585143,L109330558,11/7/2018 11:00:00 AM,10,0.716
35010543227,2300585143,L109330558,11/7/2018 12:00:00 PM,10,0.908
35010543227,2300585143,L109330558,11/7/2018 1:00:00 PM,10,0.758
35010543227,2300585143,L109330558,11/7/2018 2:00:00 PM,10,0.773
35010543227,2300585143,L109330558,11/7/2018 3:00:00 PM,10,0.667
35010543227,2300585143,L109330558,11/7/2018 4:00:00 PM,10,0.75
35010543227,2300585143,L109330558,11/7/2018 5:00:00 PM,10,0.941
35010543227,2300585143,L109330558,11/7/2018 6:00:00 PM,10,0.899
35010543227,2300585143,L109330558,11/7/2018 7:00:00 PM,10,0.927
35010543227,2300585143,L109330558,11/7/2018 8:00:00 PM,10,0.936
35010543227,2300585143,L109330558,11/7/2018 9:00:00 PM,10,0.896
35010543227,2300585143,L109330558,11/7/2018 10:00:00 PM,10,0.935
35010543227,2300585143,L109330558,11/7/2018 11:00:00 PM,10,1.261
35010543227,2300585143,L109330558,11/8/2018 12:00:00 AM,10,0.629
35010543227,2300585143,L109330558,11/8/2018 1:00:00 AM,10,0.584
35010543227,2300585143,L109330558,11/8/2018 2:00:00 AM,10,0.597
35010543227,2300585143,L109330558,11/8/2018 3:00:00 AM,10,0.618
35010543227,2300585143,L109330558,11/8/2018 4:00:00 AM,10,0.739
35010543227,2300585143,L109330558,11/8/2018 5:00:00 AM,10,0.718
35010543227,2300585143,L109330558,11/8/2018 6:00:00 AM,10,0.619
35010543227,2300585143,L109330558,11/8/2018 7:00:00 AM,10,0.863
35010543227,2300585143,L109330558,11/8/2018 8:00:00 AM,10,1.015
35010543227,2300585143,L109330558,11/8/2018 9:00:00 AM,10,0.941
35010543227,2300585143,L109330558,11/8/2018 10:00:00 AM,10,0.847
35010543227,2300585143,L109330558,11/8/2018 11:00:00 AM,10,0.899
35010543227,2300585143,L109330558,11/8/2018 12:00:00 PM,10,0.649
35010543227,2300585143,L109330558,11/8/2018 1:00:00 PM,10,0.692
35010543227,2300585143,L109330558,11/8/2018 2:00:00 PM,10,0.623
35010543227,2300585143,L109330558,11/8/2018 3:00:00 PM,10,0.685
35010543227,2300585143,L109330558,11/8/2018 4:00:00 PM,10,0.684
35010543227,2300585143,L109330558,11/8/2018 5:00:00 PM,10,0.871
35010543227,2300585143,L109330558,11/8/2018 6:00:00 PM,10,0.933
35010543227,2300585143,L109330558,11/8/2018 7:00:00 PM,10,0.907
35010543227,2300585143,L109330558,11/8/2018 8:00:00 PM,10,0.889
35010543227,2300585143,L109330558,11/8/2018 9:00:00 PM,10,0.887
35010543227,2300585143,L109330558,11/8/2018 10:00:00 PM,10,0.997
35010543227,2300585143,L109330558,11/8/2018 11:00:00 PM,10,0.99
35010543227,2300585143,L109330558,11/9/2018 12:00:00 AM,10,0.597
35010543227,2300585143,L109330558,11/9/2018 1:00:00 AM,10,0.578
35010543227,2300585143,L109330558,11/9/2018 2:00:00 AM,10,0.676
35010543227,2300585143,L109330558,11/9/2018 3:00:00 AM,10,0.604
35010543227,2300585143,L109330558,11/9/2018 4:00:00 AM,10,0.569
35010543227,2300585143,L109330558,11/9/2018 5:00:00 AM,10,0.564
35010543227,2300585143,L109330558,11/9/2018 6:00:00 AM,10,0.661
35010543227,2300585143,L109330558,11/9/2018 7:00:00 AM,10,0.824
35010543227,2300585143,L109330558,11/9/2018 8:00:00 AM,10,1.026
35010543227,2300585143,L109330558,11/9/2018 9:00:00 AM,10,0.87
35010543227,2300585143,L109330558,11/9/2018 10:00:00 AM,10,1.189
35010543227,2300585143,L109330558,11/9/2018 11:00:00 AM,10,0.854
35010543227,2300585143,L109330558,11/9/2018 12:00:00 PM,10,1.213
35010543227,2300585143,L109330558,11/9/2018 1:00:00 PM,10,0.856
35010543227,2300585143,L109330558,11/9/2018 2:00:00 PM,10,0.716
35010543227,2300585143,L109330558,11/9/2018 3:00:00 PM,10,0.646
35010543227,2300585143,L109330558,11/9/2018 4:00:00 PM,10,0.674
35010543227,2300585143,L109330558,11/9/2018 5:00:00 PM,10,0.867
35010543227,2300585143,L109330558,11/9/2018 6:00:00 PM,10,1.506
35010543227,2300585143,L109330558,11/9/2018 7:00:00 PM,10,1.514
35010543227,2300585143,L109330558,11/9/2018 8:00:00 PM,10,1.285
35010543227,2300585143,L109330558,11/9/2018 9:00:00 PM,10,0.765
35010543227,2300585143,L109330558,11/9/2018 10:00:00 PM,10,0.746
35010543227,2300585143,L109330558,11/9/2018 11:00:00 PM,10,0.775
35010543227,2300585143,L109330558,11/10/2018 12:00:00 AM,10,0.671
35010543227,2300585143,L109330558,11/10/2018 1:00:00 AM,10,0.674
35010543227,2300585143,L109330558,11/10/2018 2:00:00 AM,10,0.675
35010543227,2300585143,L109330558,11/10/2018 3:00:00 AM,10,0.63
35010543227,2300585143,L109330558,11/10/2018 4:00:00 AM,10,0.599
35010543227,2300585143,L109330558,11/10/2018 5:00:00 AM,10,0.585
35010543227,2300585143,L109330558,11/10/2018 6:00:00 AM,10,0.647
35010543227,2300585143,L109330558,11/10/2018 7:00:00 AM,10,0.682
35010543227,2300585143,L109330558,11/10/2018 8:00:00 AM,10,1.33
35010543227,2300585143,L109330558,11/10/2018 9:00:00 AM,10,2.099
35010543227,2300585143,L109330558,11/10/2018 10:00:00 AM,10,0.838
35010543227,2300585143,L109330558,11/10/2018 11:00:00 AM,10,0.823
35010543227,2300585143,L109330558,11/10/2018 12:00:00 PM,10,1.232
35010543227,2300585143,L109330558,11/10/2018 1:00:00 PM,10,1.204
35010543227,2300585143,L109330558,11/10/2018 2:00:00 PM,10,1.67
35010543227,2300585143,L109330558,11/10/2018 3:00:00 PM,10,0.86
35010543227,2300585143,L109330558,11/10/2018 4:00:00 PM,10,0.837
35010543227,2300585143,L109330558,11/10/2018 5:00:00 PM,10,1.45
35010543227,2300585143,L109330558,11/10/2018 6:00:00 PM,10,1.646
35010543227,2300585143,L109330558,11/10/2018 7:00:00 PM,10,0.969
35010543227,2300585143,L109330558,11/10/2018 8:00:00 PM,10,0.869
35010543227,2300585143,L109330558,11/10/2018 9:00:00 PM,10,0.809
35010543227,2300585143,L109330558,11/10/2018 10:00:00 PM,10,0.827
35010543227,2300585143,L109330558,11/10/2018 11:00:00 PM,10,0.745
35010543227,2300585143,L109330558,11/11/2018 12:00:00 AM,10,0.482
